title,author,description,image_url,url,category_id,published
"AMD Ryzen Z2 Go chỉ chậm hơn 10% so với Z1 Extreme, Handheld giá rẻ sắp tới quá ngon!",Tiz,"Một bài thử nghiệm so sánh hiệu năng giữa Legion Go S và ROG Ally X (máy chơi game cầm tay cao cấp hiện nay) cho thấy kết quả bất ngờ: Legion Go S chỉ chậm hơn khoảng 10% dù giá rẻ hơn đáng kể! Về thông số kỹ thuật,",https://cdn-media.sforum.vn/storage/app/media/tiz/legion-go-s.jpg,https://cellphones.com.vn/sforum/amd-ryzen-z2-go-chi-cham-hon-10-so-voi-z1-extreme,news,17/01/2025 09:31:53
Mời xem tất cả các phụ kiện của dòng Galaxy S25 sắp ra mắt,Hải Nam,"Chúng ta còn khoảng một tuần nữa là đến sự kiện Unpacked vào ngày 22 tháng 1. Samsung sẽ lên sân khấu tại San Jose, California để ra mắt dòng Galaxy S25. Hiện tại, rất nhiều thông tin rò rỉ về loạt Galaxy S thế hệ tiếp theo đã được",https://cdn-media.sforum.vn/storage/app/media/trannghia/phu-kien-Galaxy-S25-cover.jpg,https://cellphones.com.vn/sforum/phu-kien-cua-galaxy-s25-sap-ra-mat,news,16/01/2025 06:33:09
"Apple bất ngờ mở bán lại iPhone 15 Pro hàng tân trang với giá rẻ hơn cả ""triệu bạc""",Hải Anh,Apple vừa đưa dòng iPhone 15 Pro và iPhone 15 Pro Max trở lại thị trường dưới dạng sản phẩm tân trang (refurbished) tại một số quốc gia châu Âu với mức giá giảm đáng kể. Đây là động thái bất ngờ vì thông thường các mẫu Pro của Apple,https://cdn-media.sforum.vn/storage/app/media/haianh/apple-ban-lai-iphone-15-pro-refurbished.jpg,https://cellphones.com.vn/sforum/apple-ban-lai-iphone-15-pro-refurbished,news,16/01/2025 04:58:43
OPPO Find X8 Ultra và Find X9 Series sẽ có màn hình phẳng 2K chất lượng,Hải Nam,"Theo các báo cáo trước đây cho biết, OPPO đang phát triển mẫu flagship tiếp theo của họ là OPPO Find X8 Ultra. Điện thoại này có thể sẽ xuất hiện vào tháng 3 năm nay. Hôm nay, leaker nổi tiếng Digital Chat Station vừa chia sẻ cho chúng ta",https://cdn-media.sforum.vn/storage/app/media/trannghia/thong-tin-OPPO-Find-X8-Ultra-cover(1).jpg,https://cellphones.com.vn/sforum/oppo-find-x8-ultra-co-man-hinh-phang-2k,news,15/01/2025 20:37:26
OPPO A5 2025 bất ngờ lộ ảnh trên tay thực tế kèm thông số kỹ thuật chi tiết,Hải Nam,"Mới đây, một chiếc smartphone OPPO với số model PKQ110 đã đạt được sự chấp thuận từ cơ quan chứng nhận TENAA của Trung Quốc. Các thông số kỹ thuật được liệt kê cho thấy đây là một thiết bị tầm trung. Trong khi đó, leaker Experience More đã chia",https://cdn-media.sforum.vn/storage/app/media/trannghia/Oppo-A5-2025-anh-thuc-te-cover.jpg,https://cellphones.com.vn/sforum/oppo-a5-2025-lo-anh-tren-tay,news,15/01/2025 15:27:45
"Nintendo Switch 2: Sức mạnh GPU lộ diện, so găng với Xbox Series S",Hải Anh,"Nintendo Switch 2 lộ diện sức mạnh! Dữ liệu rò rỉ cho thấy hiệu năng ở chế độ cầm tay và khi cắm dock. Dù không mạnh bằng Xbox Series S, Switch 2 có lợi thế nhờ công nghệ NVIDIA DLSS. Nintendo hứa hẹn sẽ công bố thông tin chi",https://cdn-media.sforum.vn/storage/app/media/haianh/nintendo-switch-2-suc-manh-gpu-1.jpg,https://cellphones.com.vn/sforum/nintendo-switch-2-suc-manh-gpu,news,15/01/2025 15:08:33
Đây là doanh nghiệp Việt đã sản xuất camera phạt nguội tích hợp AI,Hải Nam,"Camera theo dõi giao thông do Viettel High Tech phát triển đã được thử nghiệm trên một số tỉnh thành tại nước ta. Trong những năm qua, hệ thống camera giao thông phạt nguội đã phát huy tính hiệu quả trong việc theo dõi tình hình giao thông tại Việt",https://cdn-media.sforum.vn/storage/app/media/trannghia/camera-phat-nguoi.jpg,https://cellphones.com.vn/sforum/doanh-nghiep-viet-san-xuat-camera-phat-nguoi,news,15/01/2025 15:01:56
"realme 14 Pro ra mắt: Chip Dimensity 7300, camera kép 50MP và pin 6000 mAh, giá 6.75 triệu đồng",Hải Nam,"realme 14 Pro ra mắt với thiết kế cao cấp, cấu hình phần cứng mạnh mẽ và đi kèm nhiều tính năng AI thú vị, hứa hẹn được nhiều người săn đón trong thời gian tới. Đúng như thông báo trước đó, realme hôm nay đã tổ chức một sự",https://cdn-media.sforum.vn/storage/app/media/trannghia/realme-14-Pro-ra-mat-1.jpg,https://cellphones.com.vn/sforum/realme-14-pro-ra-mat,news,16/01/2025 15:02:06
Redmi Note 14 Series thiết lập kỷ lục mới với 20000 đơn hàng chỉ sau 4 ngày mở bán,Hải Nam,"Chỉ sau 4 ngày ra mắt, Redmi Note 14 Series đã tạo nên cơn sốt khi vượt mốc 20,000 đơn hàng, phá vỡ kỷ lục của thế hệ Redmi Note 13 Series. Chính thức ra mắt tại thị trường Việt Nam vào ngày 10/01, Redmi Note 14 Series nhanh chóng",https://cdn-media.sforum.vn/storage/app/media/trannghia/doanh-so-Redmi-Note-14-2.jpg,https://cellphones.com.vn/sforum/redmi-note-14-series-dat-doanh-so-an-tuong,news,16/01/2025 11:46:31
TSMC từ chối giúp Samsung sản xuất chip Exynos?,Tiz,Trước đây một tin đồn cho biết Samsung dường như tìm đến TSMC để gia công chip Exynos và có vẻ như công ty Đài Loan không muốn hợp tác. Samsung đang gặp khó khăn trong việc sản xuất chip trên tiến trình 3nm tiên tiến của mình. Họ đã,https://cdn-media.sforum.vn/storage/app/media/tiz/exynos-2500-2.jpg,https://cellphones.com.vn/sforum/tsmc-tu-choi-giup-samsung-san-xuat-chip-exynos,news,16/01/2025 08:15:02
"Đây là ngày ra mắt, ngày mở bán và mức giá của Nintendo Switch 2",Tiz,"Một tin đồn mới nhất từ một nguồn tin đáng tin cậy đã tiết lộ ngày ra mắt, giá bán và các tựa game có thể chơi được trên Nintendo Switch 2 khi ra mắt. Theo một người dùng ẩn danh có tên Average Lucia Fanatic, người từng dự đoán",https://cdn-media.sforum.vn/storage/app/media/tiz/nintendo-switch-2-ngay-ra-mat-01.jpg,https://cellphones.com.vn/sforum/ngay-ra-mat-ngay-mo-ban-va-gia-nintendo-switch-2,news,16/01/2025 07:38:37
Ảnh render rõ nét của Samsung Galaxy S25 Slim cho thấy thiết kế siêu mỏng,Tiz,"Samsung được cho là đang phát triển một chiếc smartphone siêu mỏng, OnLeaks và Smartprix đã công bố ảnh render của một chiếc điện thoại mà họ gọi là Galaxy S25 Slim. Bản render cho thấy một chiếc điện thoại có mặt trước phẳng, mặt sau phẳng, các cạnh phẳng",https://cdn-media.sforum.vn/storage/app/media/tiz/galaxy-s25-slim-render-2.jpg,https://cellphones.com.vn/sforum/anh-render-ro-net-cua-samsung-galaxy-s25-slim,news,16/01/2025 07:35:38
Galaxy A56 sẽ là smartphone tầm trung Galaxy AI đầu tiên có Awesome Intelligence?,Hải Nam,"Samsung đã mang AI đến với dòng Galaxy A vào năm 2024 thông qua việc phát hành Circle to Search. Tuy nhiên, các tính năng AI tiên tiến hơn vẫn chỉ dành riêng cho các thiết bị cao cấp. Dù vậy, điều đó có thể sẽ thay đổi trong năm",https://cdn-media.sforum.vn/storage/app/media/trannghia/Galaxy-A56-AI-1.jpg,https://cellphones.com.vn/sforum/galaxy-a56-so-huu-ai-awesome-intelligence,news,16/01/2025 06:33:26
